name,name_id,country_code,country_name,count,pct_in_country,origin
Jaafar,jaafar-sn,LB,Lebanon,2750,0.005744,Arabic
Jaafar,jaafar-sn,MA,Morocco,1951,0.000276,Arabic
Jaafar,jaafar-sn,MY,Malaysia,9279,0.002,Arabic
Jaafari,jaafari-sn,MA,Morocco,1925,0.000273,
Jaan,jaan-sn,AE,United Arab Emirates,4357,0.00161,South Asian and Persianate personal-name-derived surname usage
Jaan,jaan-sn,OM,Oman,1517,0.000817,South Asian and Persianate personal-name-derived surname usage
Jaan,jaan-sn,SA,Saudi Arabia,13303,0.00084,South Asian and Persianate personal-name-derived surname usage
Jaat,jaat-sn,IN,India,2379,0.000812,
جاب الله,jab-allh-sn,EG,Egypt,3271,0.000097,
Jaballah,jaballah-sn,TN,Tunisia,1875,0.000717,
Jabar,jabar-sn,IQ,Iraq,4805,0.000454,
Jabbar,jabbar-sn,AE,United Arab Emirates,1439,0.000532,Arabic
Jabbar,jabbar-sn,IQ,Iraq,2032,0.000192,Arabic
Jabbar,jabbar-sn,SA,Saudi Arabia,4061,0.000257,Arabic
Jabed,jabed-sn,BD,Bangladesh,1158,0.000599,
Jaber,jaber-sn,EG,Egypt,1032,0.000031,Arabic
Jaber,jaber-sn,IL,Israel,1523,0.004616,Arabic
Jaber,jaber-sn,JO,Jordan,3110,0.005182,Arabic
Jaber,jaber-sn,LB,Lebanon,3625,0.007572,Arabic
Jaber,jaber-sn,MA,Morocco,1662,0.000235,Arabic
Jaber,jaber-sn,PS,Palestine,1611,0.003691,Arabic
Jaber,jaber-sn,SA,Saudi Arabia,1897,0.00012,Arabic
Jaber,jaber-sn,SY,Syria,1007,0.000268,Arabic
Jaber,jaber-sn,TN,Tunisia,1018,0.000389,Arabic
Jabir,jabir-sn,MA,Morocco,1644,0.000233,
Jabli,jabli-sn,MA,Morocco,1052,0.000149,
Jabłońska,jablonska-sn,PL,Poland,1254,0.005942,
Jabłoński,jablonski-sn,PL,Poland,1118,0.005298,
Jabnouni,jabnouni-sn,TN,Tunisia,1043,0.000399,
جابر,jabr-sn,EG,Egypt,25248,0.000748,Arabic
جابر,jabr-sn,IQ,Iraq,3314,0.000313,Arabic
جابر,jabr-sn,LY,Libya,1189,0.00079,Arabic
جابر,jabr-sn,PS,Palestine,1040,0.002383,Arabic
جابر,jabr-sn,SA,Saudi Arabia,5425,0.000343,Arabic
جابر,jabr-sn,SD,Sudan,2795,0.000611,Arabic
جابر,jabr-sn,SY,Syria,1740,0.000463,Arabic
جابر,jabr-sn,YE,Yemen,3224,0.001487,Arabic
Jabrane,jabrane-sn,MA,Morocco,1294,0.000183,
Jabri,jabri-sn,MA,Morocco,3285,0.000465,
Jabri,jabri-sn,TN,Tunisia,1439,0.00055,
Jabu,jabu-sn,ZA,South Africa,1070,0.000236,
Jack,jack-sn,FR,France,1306,0.000446,English
Jack,jack-sn,GB,United Kingdom,1173,0.000273,English
Jack,jack-sn,MY,Malaysia,3994,0.000861,English
Jack,jack-sn,NG,Nigeria,1230,0.000307,English
Jack,jack-sn,US,United States,1973,0.000132,English
Jack,jack-sn,ZA,South Africa,5370,0.001185,English
Jackson,jackson-sn,CA,Canada,1048,0.002547,English/Scottish
Jackson,jackson-sn,GB,United Kingdom,23316,0.005432,English/Scottish
Jackson,jackson-sn,NG,Nigeria,3632,0.000906,English/Scottish
Jackson,jackson-sn,US,United States,55231,0.003706,English/Scottish
Jackson,jackson-sn,ZA,South Africa,4362,0.000962,English/Scottish
Jacky,jacky-sn,MY,Malaysia,1001,0.000216,
Jacob,jacob-sn,AE,United Arab Emirates,1519,0.000561,Hebrew
Jacob,jacob-sn,FR,France,3573,0.00122,Hebrew
Jacob,jacob-sn,NG,Nigeria,5916,0.001476,Hebrew
Jacob,jacob-sn,SA,Saudi Arabia,1063,0.000067,Hebrew
Jacob,jacob-sn,US,United States,3499,0.000235,Hebrew
Jacob,jacob-sn,ZA,South Africa,2000,0.000441,Hebrew
Jacobo,jacobo-sn,MX,Mexico,3277,0.000478,Spanish and Hebrew
Jacobo,jacobo-sn,US,United States,2575,0.000173,Spanish and Hebrew
